year,month,gscpi_shock
2012,8,0.4940341327782264
2012,9,-0.20960695385511746
2012,10,0.24890548283649688
2012,11,-0.3843229477540014
2012,12,0.21749905093572322
2013,1,0.059301695089104975
2013,2,-0.3426551971564372
2013,3,-0.15806320403188273
2013,4,-0.21491883582731286
2013,5,-0.1717450139897687
2013,6,0.1447403686796822
2013,7,-0.07002194194845257
2013,8,0.03180963346484367
2013,9,0.22460580372294575
2013,10,0.037999222378289926
2013,11,-0.5394147410898268
2013,12,0.2037076129898644
2014,1,-0.20602030745538907
2014,2,0.31553578135057664
2014,3,-0.4112168847981936
2014,4,-0.20849330693337564
2014,5,-0.0555252859599179
2014,6,0.07431430112467718
2014,7,-0.20299697142511353
2014,8,0.14293862373817623
2014,9,-0.2678716611266968
2014,10,0.17955075722611502
2014,11,-0.45573390910100453
2014,12,0.5443899006602836
2015,1,-0.2215464302830531
2015,2,0.1590160137538218
2015,3,-0.11598771770932303
2015,4,0.0016617557546350081
2015,5,-0.227690172790682
2015,6,-0.3420772973557079
2015,7,0.4270252976185044
2015,8,-0.36471022422139787
2015,9,0.26335540214261455
2015,10,0.08238721641368865
2015,11,-0.44073032132728523
2015,12,0.03886556928233731
2016,1,-0.25287237587481015
2016,2,0.0024770158483055082
2016,3,0.028657584286784443
2016,4,0.3147590852691836
2016,5,-0.508002622107167
2016,6,0.41852911025455397
2016,7,0.03813122704956576
2016,8,0.2316204204669904
2016,9,-0.4152865285775034
2016,10,0.26140744558436
2016,11,-0.2898112970316861
2016,12,0.09185736998842028
2017,1,0.3568546708112263
2017,2,-0.059233763674315876
2017,3,-0.05810330415692104
2017,4,-0.05344885219539321
2017,5,-0.1494903309420357
2017,6,0.23703594016906337
2017,7,-0.021312385925275165
2017,8,0.30330860062016757
2017,9,0.1537558420435744
2017,10,0.2607389093866882
2017,11,0.04592884439705469
2017,12,-0.06646200594569107
2018,1,-0.02838145811363446
2018,2,-0.4739955544015727
2018,3,0.4437253293402469
2018,4,0.0653508921157524
2018,5,-0.11157216824882765
2018,6,0.10088353513313209
2018,7,0.03410741295763364
2018,8,0.11823385098784972
2018,9,-0.038083686314105025
2018,10,0.10645776695613485
2018,11,-0.044951782649995053
2018,12,0.05091471107725121
2019,1,0.0844086257143381
2019,2,-0.3400557738289455
2019,3,0.12477347974652155
2019,4,-0.19304673334173977
2019,5,-0.6137453320326939
2019,6,0.1769944228190105
2019,7,-0.0363788569825545
2019,8,0.11891472557387994
2019,9,0.377223284185772
2019,10,-0.09112751795162218
2019,11,0.07311662122437732
2019,12,-0.10865258672876224
2020,1,0.030826101607629667
2020,2,1.2518029272599092
2020,3,1.3005625300904569
2020,4,0.7373994317358021
2020,5,-0.6381626219469552
2020,6,-1.3160433432890528e-4
2020,7,0.9294890931025508
2020,8,-1.3430260462929235
2020,9,-0.5602599270041465
2020,10,-0.35948878858916583
2020,11,0.737036351828664
2020,12,0.9130214453600056
2021,1,-0.3309587010915789
2021,2,0.7778809692851976
2021,3,0.4012946206442154
2021,4,0.633565501199389
2021,5,0.43742819615782436
2021,6,-0.07160279908794731
2021,7,0.43242156465924664
2021,8,0.5883323119496877
2021,9,0.28523174667318996
2021,10,0.8099092681192106
2021,11,0.6448135237586068
2021,12,0.3720420902237054
2022,1,-0.37193803988973917
2022,2,-0.5392907090046704
2022,3,0.39231339328397663
2022,4,0.9148880993740338
2022,5,-0.6059855292995762
2022,6,-0.017318023714622655
2022,7,-0.367028387541277
2022,8,-0.10194286586974499
2022,9,-0.33241961267518816
2022,10,0.24416410694282498
2022,11,0.1995390007633402
2022,12,0.15177336040589418
2023,1,-0.16501505126771843
2023,2,-1.1895062284634932
2023,3,-0.797524087850871
2023,4,-0.11986450914606217
2023,5,-0.3686599605778882
2023,6,0.37750015041523843
2023,7,0.02070987952425518
2023,8,-0.2266698391654447
2023,9,0.34441741293847417
2023,10,0.1770963019616486
2023,11,0.46798166985064843
2023,12,-0.3854125463066834
2024,1,-0.14888708181279
2024,2,0.1395646949567168
2024,3,-0.19752612378424433
2024,4,-0.6141404772549214
2024,5,0.37256897805385203
2024,6,0.1381776317359239
2024,7,0.24151521238832185
2024,8,0.20834851785136158
2024,9,-0.12239935079111601
2024,10,-0.43383354800563606
2024,11,0.09484653018032424
2024,12,-0.015124156868034977
2025,1,0.058345786612087974
2025,2,0.1494414759454536
2025,3,-0.2076146257414874
2025,4,-0.05928931824570796
2025,5,0.5074037479096962
2025,6,-0.23737997746525472
2025,7,-0.031244410045379638
2025,8,-0.1043957354486165
2025,9,0.0552760882214137
2025,10,-0.0710181444401809
2025,11,-0.08334892208873433
2025,12,0.6780991343828535
