year,month,imf_shock
2016,7,-0.01583112548063133
2016,8,0.003037437655784807
2016,9,-0.002794158409494808
2016,10,0.03179007129835288
2016,11,-0.022333981022371246
2016,12,0.05535962142491099
2017,1,0.020634112143090647
2017,2,-0.006332914052934371
2017,3,-0.052249127152469224
2017,4,0.013179492760205766
2017,5,-0.022756457859893154
2017,6,-0.027044188604347638
2017,7,0.029499523734400495
2017,8,0.017471462013909617
2017,9,0.018074837693738834
2017,10,0.0035305517511667623
2017,11,0.03621718021841168
2017,12,-7.066192351250708e-4
2018,1,0.046023016002909756
2018,2,-0.03200099841098434
2018,3,4.577710224472819e-5
2018,4,0.014052206023257685
2018,5,0.03026867764849107
2018,6,-0.02094156496571266
2018,7,-0.013605967953464332
2018,8,-0.01649107838701378
2018,9,0.035013877448554
2018,10,-0.002285654727791837
2018,11,-0.09386185606435417
2018,12,-0.025422996003843467
2019,1,0.01986393106629014
2019,2,0.010053456438679883
2019,3,-8.650786949285999e-4
2019,4,0.024580455476267776
2019,5,-0.035374016295229405
2019,6,-0.03619843149486523
2019,7,0.030401165961940868
2019,8,-0.05457568996508082
2019,9,0.028202719882228777
2019,10,-0.019574465202229163
2019,11,0.03441176978251097
2019,12,0.013309137535642723
2020,1,-0.012502181368448698
2020,2,-0.07683358148683686
2020,3,-0.1495805344921467
2020,4,-0.049204605811110726
2020,5,0.09742861934302058
2020,6,0.06304584941374969
2020,7,0.004898097988289912
2020,8,0.04497555833450624
2020,9,-0.01965497872561619
2020,10,0.025056073306295338
2020,11,0.02594388036483055
2020,12,0.07206580234602888
2021,1,0.06532112616258137
2021,2,-0.018379529788373455
2021,3,0.017707250032822825
2021,4,0.021470890142369067
2021,5,0.05648615709346452
2021,6,0.01575943370890562
2021,7,0.013386359173804693
2021,8,-0.018717864094948224
2021,9,0.05063166041630795
2021,10,0.09445691574224979
2021,11,-0.07593535326602063
2021,12,0.029078250258314762
2022,1,0.022036797764981728
2022,2,0.04697779612912736
2022,3,0.14734086928789245
2022,4,-0.09503617584353713
2022,5,0.0022921905989230773
2022,6,0.02319864122156063
2022,7,-0.017524873215472865
2022,8,0.05318995793629678
2022,9,-0.11104544115243985
2022,10,-0.11666434363492337
2022,11,0.038182865220015925
2022,12,0.008811604644649543
2023,1,-0.0674441159154872
2023,2,-0.030798940269617624
2023,3,-0.0269410319393992
2023,4,0.022032282528855477
2023,5,-0.08904613617352111
2023,6,-8.168317442463005e-5
2023,7,0.02766395090029752
2023,8,0.012591658303736727
2023,9,0.036771626354127535
2023,10,-0.01816304623492043
2023,11,-0.01778389236201476
2023,12,-0.03208803322845423
2024,1,0.005625850778889536
2024,2,-0.006161319796355337
2024,3,0.026565354604172274
2024,4,0.03453358000116824
2024,5,-0.023894320695470005
2024,6,-0.010973173601810451
2024,7,-0.0028673879434863627
2024,8,-0.013084010997805299
2024,9,-0.016542564217913915
2024,10,0.034332092311672495
2024,11,-0.012294302870626871
2024,12,6.985352168258053e-4
2025,1,0.03345456451023958
2025,2,-0.016101612899655813
2025,3,-0.028358760456786376
2025,4,-0.024662671569019877
2025,5,-0.005220123537176877
2025,6,0.03293442758685522
2025,7,-0.0143817748353263
2025,8,-0.015880288161121456
2025,9,0.027300036233945415
2025,10,-0.006588656013900272
2025,11,0.0017199798776736039
2025,12,0.010085526414934945
2026,1,0.04535528037496644
